Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,Description
2,Dopey & Grey,8,266,266,1,2,6,7,1,1,1,1,2,1,2,0,41326,0,2,"Dopey Age: 8mths old Male One half of a pair, Dopey is the reserved one compared to his brother Grey. However, he loves to be petted and is active by nature. Loves to chase balls and plays with anything that is mobile. Favourite hobby: Watching TV near the TV screen."
2,Chi Chi,36,285,264,2,1,4,7,2,3,1,1,1,2,1,0,41326,0,1,"Please note that Chichi has been neutered, therefore cannot breed. ChiChi is a Persian with a difference : She is a silent cat. She loves to be petted but needs regular grooming and cleaning."
2,Sticky,2,265,0,1,6,7,0,2,2,1,1,2,1,1,200,41326,0,4,"Sticky, named such because of his tendency to stick to you for cuddles, was found with his two siblings on our campus. These cuties are looking for a nice home."
1,Dannie & Kass,12,307,0,2,2,5,0,2,2,1,1,1,1,2,0,41326,0,5,"Dannie and Kass are mother and daughter. They are both extremely friendly dogs. Kass is the mother and is a very calm dog, whereas Dannie is a ball of energy."
2,Cuddles,12,265,0,1,2,3,7,2,2,1,1,1,1,1,0,41326,0,5,"Extremely cuddly cat, hence the origin of his name. We found him very sick outside but now he is healthy and ready for adoption."
2,Porridge,4,265,0,1,6,7,0,2,2,1,1,2,1,1,0,41326,0,3,"Porridge the cat is looking for a place to call home. He has a vast amount of affection that needs venting and returned."
1,Max,24,307,0,1,1,2,0,3,1,1,1,1,1,1,150,41326,0,2,"Max is a friendly and energetic dog who loves to play fetch. Great with families and kids."
2,Luna,6,269,0,2,1,0,0,1,3,1,1,2,1,1,50,41326,0,4,"Luna is a beautiful kitten with a playful personality. Perfect for apartment living."
1,Rex,60,285,0,1,4,5,0,3,1,1,1,1,2,1,0,41312,1,3,"Rex is an older gentleman who is calm and well-trained. Looking for a quiet retirement home."
2,Whiskers,18,270,0,1,3,2,0,2,2,1,1,1,1,1,75,41313,0,1,"Whiskers is a sweet cat who enjoys cuddles and attention. Needs patient owner."
